segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
MS_early,Wolverhampton,Fulham,12,2.74,2.48,1,2.74,0.48,1,True,1.7400000000000002,1
MS_late,Sunderland,Brighton,29,7.61,1.35,2,1.35,0.496,2,True,0.3500000000000001,1
DS,Newcastle,Liverpool,1,1.81,3.72,2,3.72,0.472,2,True,2.72,1
DS,C. Palace,West Ham,1,1.77,4.15,2,4.15,1.472,1,False,-1.0,2
DS,N. Forest,Newcastle,2,2.52,2.59,1,2.52,0.656,1,True,1.52,1
DS,Spurs,London Blues,2,1.89,3.4,2,3.4,0.8,1,False,-1.0,1
DS,West Ham,Manchester Red,2,2.25,3.01,1,2.25,1.6560000000000001,1,True,1.25,2
DS,Brighton,Bournemouth,2,1.65,4.39,2,4.39,0.472,1,False,-1.0,1
DS,Fulham,West Ham,3,1.77,4.01,2,4.01,1.472,X,False,-1.0,2
DS,Brentford,C. Palace,3,1.9,3.62,2,3.62,0.472,2,True,2.62,1
DS,Leeds,Brighton,3,6.69,1.4,2,1.4,0.52,2,True,0.3999999999999999,1
DS,Burnley,Sunderland,3,2.39,2.84,1,2.39,0.656,1,True,1.3900000000000001,1
DS,London Blues,Everton,3,1.61,5.85,1,1.61,0.8,1,True,0.6100000000000001,1
DS,Bournemouth,Spurs,3,2.45,2.62,1,2.45,0.656,2,False,-1.0,1
MS_early,Wolverhampton,London Reds,5,6.75,1.48,1,6.75,0.448,1,True,5.75,1
MS_early,Everton,Bournemouth,4,2.17,3.22,2,3.22,0.5,X,False,-1.0,1
MS_early,Sunderland,C. Palace,7,6.46,1.52,1,6.46,0.448,X,False,-1.0,1
MS_early,Sunderland,Manchester Blue,11,19.46,1.14,1,19.46,0.448,2,False,-1.0,1
DS,West Ham,Burnley,2,1.74,3.98,1,1.74,1.0,X,False,-1.0,1
DS,Bournemouth,A. Villa,1,2.28,3.11,1,2.28,0.656,1,True,1.2799999999999998,1
DS,Newcastle,West Ham,1,1.29,8.9,2,8.9,1.0,1,False,-1.0,1
DS,London Blues,London Reds,1,3.55,2.06,1,3.55,0.49000000000000005,1,True,2.55,1
DS,Bournemouth,London Reds,3,5.93,1.61,2,1.61,1.0,2,True,0.6100000000000001,1
DS,London Blues,Newcastle,3,1.98,3.38,1,1.98,0.546,1,True,0.98,1
DS,Burnley,Liverpool,3,5.32,1.57,2,1.57,1.0,2,True,0.5700000000000001,1
MS_early,Burnley,A. Villa,8,3.18,2.22,1,3.18,0.48,1,True,2.18,1
MS_early,Burnley,Bournemouth,6,2.76,2.37,2,2.37,0.5,X,False,-1.0,1
MS_early,Leeds,Bournemouth,11,4.43,1.67,2,1.67,0.5,1,False,-1.0,1
MS_early,C. Palace,Bournemouth,9,1.88,3.61,2,3.61,0.5,1,False,-1.0,1
MS_early,Sunderland,Brighton,9,7.83,1.33,1,7.83,0.448,2,False,-1.0,1
MS_early,Brentford,Liverpool,9,2.79,2.16,1,2.79,0.48,X,False,-1.0,1
MS_early,Wolverhampton,London Reds,12,6.91,1.47,1,6.91,0.448,1,True,5.91,1
FS,Leeds,Newcastle,36,7.59,1.36,1,7.59,0.544,2,False,-1.0,1
FS,C. Palace,N. Forest,36,1.67,4.65,1,1.67,1.0,1,True,0.6699999999999999,1
FS,Leeds,London Reds,34,19.96,1.14,1,19.96,0.544,X,False,-1.0,1
FS,Manchester Red,London Blues,34,1.94,3.63,2,3.63,0.65,X,False,-1.0,1
MS_late,Sunderland,London Blues,33,7.03,1.42,2,1.42,0.496,2,True,0.41999999999999993,1
DS,Brentford,N. Forest,2,1.62,4.54,2,4.54,0.472,1,False,-1.0,1
DS,Spurs,London Reds,1,4.31,1.72,2,1.72,1.0,2,True,0.72,1
DS,West Ham,London Reds,3,5.93,1.54,1,5.93,1.0,X,False,-1.0,1
DS,Bournemouth,Sunderland,3,1.84,4.09,2,4.09,0.472,2,True,3.09,1
DS,Wolverhampton,A. Villa,3,2.41,2.82,1,2.41,0.656,2,False,-1.0,1
DS,N. Forest,Newcastle,3,2.49,2.62,1,2.49,0.656,1,True,1.4900000000000002,1
MS_early,Bournemouth,N. Forest,6,1.83,4.08,1,1.83,0.5,1,True,0.8300000000000001,1
MS_early,London Blues,Manchester Blue,6,3.17,2.19,1,3.17,0.48,1,True,2.17,1
MS_early,A. Villa,Bournemouth,11,1.46,5.67,2,5.67,0.5,2,True,4.67,1
MS_early,Sunderland,Liverpool,12,12.13,1.21,1,12.13,0.448,X,False,-1.0,1
MS_early,Burnley,London Reds,12,10.03,1.32,1,10.03,0.448,2,False,-1.0,1
FS,Manchester Blue,Sunderland,35,1.17,13.37,2,13.37,0.55,1,False,-1.0,1
FS,Sunderland,Brentford,34,7.47,1.42,1,7.47,1.094,2,False,-1.0,2
MS_late,Leeds,Spurs,33,6.16,1.43,2,1.43,0.496,2,True,0.42999999999999994,1
DS,N. Forest,Brighton,1,2.22,2.88,1,2.22,0.656,1,True,1.2200000000000002,1
DS,Everton,Wolverhampton,3,1.87,4.24,2,4.24,0.472,2,True,3.24,1
DS,Fulham,Everton,2,1.85,4.21,2,4.21,0.472,2,True,3.21,1
DS,Bournemouth,London Reds,2,5.75,1.62,2,1.62,1.0,2,True,0.6200000000000001,1
